"NAICS","MIS_Status","DisbursementGross","Term","State","NAICS_Names"
"23","P I F",55000,60,"NY","Construction"
"23","CHGOFF",380000,2,"KS","Construction"
"23","P I F",50000,4,"PA","Construction"
"23","CHGOFF",620000,109,"CA","Construction"
"53","CHGOFF",14950,61,"CA","Real estate"
"23","CHGOFF",19000,65,"CA","Construction"
"71","P I F",29821,84,"NY","Recreation"
"23","CHGOFF",350000,50,"TX","Construction"
"23","CHGOFF",48554,63,"OH","Construction"
"23","P I F",10000,72,"CO","Construction"
"23","P I F",223363,115,"MD","Construction"
"11","P I F",719000,180,"MS","Agriculture"
"71","CHGOFF",150500,95,"CA","Recreation"
"71","CHGOFF",16675,47,"CA","Recreation"
"11","P I F",90000,48,"LA","Agriculture"
"23","P I F",127000,240,"WA","Construction"
"23","P I F",60000,84,"AR","Construction"
"23","P I F",131580,84,"WA","Construction"
"23","CHGOFF",525000,12,"FL","Construction"
"53","P I F",108633,84,"ME","Real estate"
"53","P I F",35000,60,"MI","Real estate"
"53","CHGOFF",99782,20,"IL","Real estate"
"23","CHGOFF",44000,67,"IA","Construction"
"71","P I F",173900,120,"CA","Recreation"
"53","CHGOFF",1331000,180,"TX","Real estate"
"71","P I F",36994,84,"OH","Recreation"
"23","P I F",25000,60,"ND","Construction"
"23","P I F",51389,84,"OH","Construction"
"11","P I F",28000,60,"MS","Agriculture"
"23","P I F",32292,36,"KY","Construction"
"71","P I F",1e+05,60,"NY","Recreation"
"71","CHGOFF",749500,110,"GA","Recreation"
"23","P I F",145000,300,"NJ","Construction"
"53","CHGOFF",30057,49,"FL","Real estate"
"23","P I F",410000,240,"NY","Construction"
"23","CHGOFF",250000,9,"PA","Construction"
"71","P I F",150000,246,"MS","Recreation"
"23","CHGOFF",376868,40,"UT","Construction"
"23","CHGOFF",10000,49,"MD","Construction"
"23","P I F",323494,303,"CA","Construction"
"23","CHGOFF",28355,23,"NV","Construction"
"23","P I F",50000,84,"NM","Construction"
"23","P I F",26784,84,"MN","Construction"
"23","P I F",101122,84,"AZ","Construction"
"53","CHGOFF",49600,72,"MI","Real estate"
"23","P I F",747944,84,"NY","Construction"
"53","P I F",520900,300,"TX","Real estate"
"71","CHGOFF",239330,74,"NJ","Recreation"
"23","P I F",25000,84,"NY","Construction"
"23","CHGOFF",20000,68,"HI","Construction"
"53","CHGOFF",23000,75,"OH","Real estate"
"23","P I F",30000,84,"NY","Construction"
"23","P I F",75000,60,"MO","Construction"
"11","P I F",3e+05,120,"GA","Agriculture"
"23","P I F",83000,240,"IN","Construction"
"23","CHGOFF",42113,59,"OH","Construction"
"23","P I F",150000,59,"WI","Construction"
"23","CHGOFF",1566500,98,"IA","Construction"
"23","CHGOFF",122345,42,"MA","Construction"
"11","P I F",20400,120,"RI","Agriculture"
"23","P I F",50914,84,"CT","Construction"
"23","P I F",360000,240,"MT","Construction"
"71","P I F",55000,60,"MI","Recreation"
"23","P I F",75000,60,"UT","Construction"
"23","CHGOFF",38500,67,"KY","Construction"
"23","CHGOFF",20000,62,"NY","Construction"
"23","P I F",152000,300,"IL","Construction"
"53","P I F",75000,84,"NJ","Real estate"
"11","P I F",72000,84,"MS","Agriculture"
"53","P I F",59036,84,"PA","Real estate"
"53","P I F",61488,83,"RI","Real estate"
